iter	Passed	Remaining
0	140	140499
1	141	70540
2	141	47182
3	142	35505
4	143	28501
5	143	23818
6	144	20476
7	144	17970
8	145	16026
9	146	14464
10	146	13187
11	147	12122
12	147	11220
13	148	10445
14	148	9774
15	149	9187
16	150	8679
17	150	8222
18	151	7813
19	151	7441
20	152	7111
21	153	6805
22	153	6528
23	154	6276
24	154	6041
25	155	5824
26	156	5622
27	156	5434
28	157	5259
29	157	5096
30	158	4943
31	158	4800
32	159	4665
33	159	4538
34	160	4420
35	161	4311
36	161	4206
37	162	4105
38	162	4010
39	163	3921
40	163	3835
41	164	3754
42	165	3681
43	166	3608
44	166	3537
45	167	3470
46	168	3408
47	168	3349
48	169	3289
49	170	3231
50	170	3175
51	171	3122
52	171	3070
53	172	3020
54	172	2970
55	173	2923
56	173	2877
57	174	2835
58	175	2793
59	175	2753
60	176	2714
61	176	2676
62	177	2640
63	178	2604
64	178	2570
65	179	2536
66	179	2504
67	180	2473
68	181	2443
69	181	2413
70	182	2384
71	182	2357
72	183	2329
73	183	2302
74	184	2276
75	185	2250
76	185	2226
77	186	2201
78	186	2178
79	187	2156
80	188	2133
81	188	2111
82	188	2087
83	189	2066
84	190	2046
85	190	2027
86	191	2008
87	192	1990
88	192	1971
89	193	1953
90	193	1935
91	194	1918
92	195	1902
93	195	1886
94	196	1870
95	196	1854
96	197	1838
97	198	1823
98	198	1809
99	199	1794
100	199	1780
101	200	1766
102	201	1752
103	201	1739
104	202	1725
105	203	1712
106	203	1699
107	204	1686
108	204	1673
109	205	1661
110	205	1648
111	206	1636
112	207	1624
113	207	1612
114	208	1601
115	208	1589
116	209	1578
117	209	1567
118	210	1557
119	211	1547
120	211	1538
121	212	1527
122	212	1517
123	213	1508
124	214	1498
125	214	1489
126	215	1479
127	215	1469
128	216	1460
129	216	1451
130	217	1442
131	218	1433
132	218	1425
133	219	1416
134	219	1408
135	220	1399
136	220	1391
137	221	1383
138	221	1375
139	222	1366
140	223	1359
141	223	1351
142	224	1343
143	224	1336
144	225	1330
145	226	1323
146	227	1317
147	227	1310
148	228	1303
149	229	1297
150	229	1291
151	230	1284
152	230	1278
153	231	1271
154	232	1265
155	232	1258
156	233	1252
157	233	1246
158	234	1240
159	235	1233
160	235	1226
161	235	1220
162	236	1214
163	237	1209
164	237	1204
165	238	1198
166	239	1193
167	240	1189
168	240	1184
169	241	1179
170	242	1173
171	242	1168
172	243	1163
173	244	1159
174	244	1154
175	245	1148
176	245	1143
177	246	1138
178	247	1133
179	247	1128
180	248	1124
181	248	1119
182	249	1114
183	250	1109
184	250	1104
185	251	1099
186	251	1094
187	252	1090
188	253	1085
189	253	1081
190	254	1076
191	254	1072
192	255	1067
193	256	1063
194	256	1059
195	257	1055
196	257	1051
197	258	1046
198	258	1042
199	259	1038
200	260	1033
201	260	1029
202	261	1025
203	261	1021
204	262	1017
205	262	1013
206	263	1009
207	263	1005
208	264	1000
209	265	997
210	265	993
211	266	989
212	266	986
213	267	982
214	268	978
215	268	974
216	269	971
217	269	967
218	270	964
219	270	960
220	271	957
221	272	953
222	272	950
223	273	946
224	273	943
225	274	939
226	275	936
227	275	933
228	276	929
229	276	926
230	277	923
231	277	919
232	278	916
233	279	913
234	279	910
235	280	907
236	280	904
237	281	901
238	281	897
239	282	894
240	283	891
241	283	888
242	284	885
243	284	882
244	285	879
245	285	876
246	286	873
247	286	870
248	287	867
249	288	864
250	288	860
251	289	857
252	289	854
253	290	851
254	290	849
255	291	846
256	291	843
257	292	840
258	292	837
259	293	834
260	294	834
261	295	831
262	295	829
263	296	826
264	297	823
265	297	821
266	298	818
267	298	815
268	299	813
269	299	811
270	300	808
271	301	805
272	301	803
273	302	800
274	302	798
275	303	795
276	303	793
277	304	791
278	305	788
279	305	786
280	306	784
281	306	781
282	307	779
283	308	777
284	308	774
285	309	772
286	310	770
287	310	767
288	311	765
289	311	763
290	312	760
291	312	758
292	313	756
293	314	754
294	314	752
295	315	750
296	316	748
